ID,Example,Primary_Text,IPA,Analyzed,Gloss,Translation,Comment
UT001,Muoi lohheen;1PL.1DU read.1DU;We two read;,Muoi lohheen,,Muoi	lohheen,1PL.1DU	read.1DU,We two read,
UT001,Párnááh luuhâv;child.PL read.3DU;Two children read;,Párnááh luuhâv,,Párnááh	luuhâv,child.PL	read.3DU,Two children read,
UT004,táválâš tááluin ~ táválijn tááluin;regular.ATTR house.PL.LOC ~ regular.PL.LOC house.PL.LOC;in regular houses;,táválâš tááluin ~ táválijn tááluin,,táválâš	tááluin	~	táválijn	tááluin,regular.ATTR	house.PL.LOC	~	regular.PL.LOC	house.PL.LOC,in regular houses,
UT005,taan táálust;this.SG.GEN house.SG.LOC;in this house;,taan táálust,,taan	táálust,this.SG.GEN	house.SG.LOC,in this house,
UT007,Sun kuárŋui káátu oolâ;3SG climb-PST.3SG roof.GEN to;He climbed on the roof;,Sun kuárŋui káátu oolâ,,Sun	kuárŋui	káátu	oolâ,3SG	climb-PST.3SG	roof.GEN	to,He climbed on the roof,
UT014,Máttáátteijee čooskij uáppee já kaačâi olgos;teacher hit-PST.3SG student.ACC and run-PST:3SG outside;The teacher hit the student and ran outside;,Máttáátteijee čooskij uáppee já kaačâi olgos,,Máttáátteijee	čooskij	uáppee	já	kaačâi	olgos,teacher	hit-PST.3SG	student.ACC	and	run-PST:3SG	outside,The teacher hit the student and ran outside,
UT017,kaččâđ > kačâ-diđ;;to run > to run (freq.);,kaččâđ > kačâ-diđ,,kaččâđ	>	kačâ-diđ,,to run > to run (freq.),
UT017,puáldiđ > pold-âččiđ;to burn > to burn (freq.); sierâdiđ > sierâd-âllâđ;to play > to play (freq.);,puáldiđ > pold-âččiđ,to burn > to burn (freq.),to	burn	>	to	burn	(freq.),sierâdiđ	>	sierâd-âllâđ,to play > to play (freq.),
UT018,Mun lam luhâmin;1SG be-1SG read-ACT.ESS;I am reading;,Mun lam luhâmin,,Mun	lam	luhâmin,1SG	be-1SG	read-ACT.ESS,I am reading,
UT019,Mun vuálgám itten kuálástiđ;1SG go-PRS.1SG tomorrow fish-INF;I am going to go fishing tomorrow;,Mun vuálgám itten kuálástiđ,,Mun	vuálgám	itten	kuálástiđ,1SG	go-PRS.1SG	tomorrow	fish-INF,I am going to go fishing tomorrow,
UT020,Juná lii vyelgimin;train be.3SG leave.ACT.ESS;The train is about to leave;,Juná lii vyelgimin,,Juná	lii	vyelgimin,train	be.3SG	leave.ACT.ESS,The train is about to leave,
UT021,"Ko mun poottim, sun lâi jo vuálgám;when 1SG come-PST.1SG 3SG be-PST.3SG already leave.PRF.PTCP;When I came he had already left;","Ko mun poottim, sun lâi jo vuálgám",,"Ko	mun	poottim,	sun	lâi	jo	vuálgám",when	1SG	come-PST.1SG	3SG	be-PST.3SG	already	leave.PRF.PTCP,When I came he had already left,
UT026,"Mun vuálgáččim, jis puávtáččim;1SG go-COND.1SG if 1SG can-COND.1SG;I would go if I could;","Mun vuálgáččim, jis puávtáččim",,"Mun	vuálgáččim,	jis	puávtáččim",1SG	go-COND.1SG	if	1SG	can-COND.1SG,I would go if I could,
UT027,"Jis tun liččih liäibum kááhu, mun purâččim tom;if 2SG be-COND.2SG bake-PRF-PCPL cake-ACC 1SG eat-COND.1SG it-ACC;If you would have baked a cake, I would eat it;","Jis tun liččih liäibum kááhu, mun purâččim tom",,"Jis	tun	liččih	liäibum	kááhu,	mun	purâččim	tom",if	2SG	be-COND.2SG	bake-PRF-PCPL	cake-ACC	1SG	eat-COND.1SG	it-ACC,"If you would have baked a cake, I would eat it",
UT029,Äšši čielgiš itten;thing-NOM clear-POT.3SG tomorrow;The matter will probably be solved tomorrow;,Äšši čielgiš itten,,Äšši	čielgiš	itten,thing-NOM	clear-POT.3SG	tomorrow,The matter will probably be solved tomorrow,
UT031,Puáđus teehi;come-IMP.3SG here;Let him come here;,Puáđus teehi,,Puáđus	teehi,come-IMP.3SG	here,Let him come here,
UT039,Tääbbin puáhtá uáđđiđ;here can.3PL sleep.INF;It is possible to sleep here;,Tääbbin puáhtá uáđđiđ,,Tääbbin	puáhtá	uáđđiđ,here	can.3PL	sleep.INF,It is possible to sleep here,
UT044,Arva;rain.3SG;It is raining;,Arva,,Arva,rain.3SG,It is raining,
UT045,Sun lii máttáátteijee;3SG be.3SG teacher; S/he is a teacher;,Sun lii máttáátteijee,,Sun	lii	máttáátteijee,3SG	be.3SG	teacher, S/he is a teacher,
UT046,Sun lâi máttáátteijee;3SG be-PST.3SG teacher;S/he is a teacher;,Sun lâi máttáátteijee,,Sun	lâi	máttáátteijee,3SG	be-PST.3SG	teacher,S/he is a teacher,
UT048,Ánná já Petter;;Anna and Petter;,Ánná já Petter,,Ánná	já	Petter,,Anna and Petter,
UT048,Ánná lohá já sárgu;;Anna reads and draws;,Ánná lohá já sárgu,,Ánná	lohá	já	sárgu,,Anna reads and draws,
UT048,Ánná lohá já Petter sárgu;;Anna reads and Petter draws;,Ánná lohá já Petter sárgu,,Ánná	lohá	já	Petter	sárgu,,Anna reads and Petter draws,
UT050,Mun luuvâm;1SG read-1SG;I read;,Mun luuvâm,,Mun	luuvâm,1SG	read-1SG,I read,
UT050,Mun jiem luuvâ;1SG NEG.PRS.1SG read.CNG;I don't read',Mun jiem luuvâ,,Mun	jiem	luuvâ,1SG	NEG.PRS.1SG	read.CNG,I don't read',
UT053,jäämmiđ : jämi-hánnáá;die-INF : die-ABE;to die : without dying;,jäämmiđ : jämi-hánnáá,,jäämmiđ	:	jämi-hánnáá,die-INF	:	die-ABE,to die : without dying,
UT054,Säämist kuálásteh ennuv;Lapland.LOC fish.3PL a lot;People fish a lot in Lapland;,Säämist kuálásteh ennuv,,Säämist	kuálásteh	ennuv,Lapland.LOC	fish.3PL	a	lot,People fish a lot in Lapland,
UT055,lohhee kandâ;;a reading boy;,lohhee kandâ,,lohhee	kandâ,,a reading boy,
UT055,luuhâm kandâ;;a boy who has been reading;,luuhâm kandâ,,luuhâm	kandâ,,a boy who has been reading,
